Year,Primary Enrollment,GDP
2001,967748.0,0.214611682439951
2002,987676.0,0.974296173207478
2003,1016098.0,1.0242599305635
2004,1045485.0,0.391539692724805
2005,1045484.0,2.22972936776591
2006,1035100.0,3.87674206159927
2007,1075041.0,1.41903849378535
2008,993795.0,1.69437629398375
2009,963524.0,-2.49933225279713
2010,939726.0,1.67414976655505
2011,900681.0,3.37090111995344
2012,858864.0,2.36462762805975
2013,817275.0,1.7728053467137
2014,777043.0,1.24137960221096
2015,741394.0,1.91334416315701
2016,711182.0,2.04553340356148
2017,678137.0,1.73469434223202
2018,662740.0,1.9119532499339
2019,626300.0,1.86206594609182
2020,616870.0,-9.04150628086718
